RETAIL,CATEGORIA,Date,Impressions,Clicks,CTR,Unique Visitors,Frequency,Spend,Units,Sales,ROAS,Month,Day,New Impressions,Unit Cost,Best Practice
BA,crema,2023-07-18,2325,18,0.007741935483870968,2300.0,1.0109,90.0,26,861.0,9.57,7,18,2325000,33.11538461538461,No BP
BA,crema,2023-07-19,1679,28,0.016676593210244194,1647.0,1.0194,140.0,29,861.0,6.15,7,19,1679000,29.689655172413794,No BP
BA,crema,2023-07-20,1560,22,0.014102564102564103,1511.0,1.0324,110.0,13,440.5,4.0,7,20,1560000,33.88461538461539,No BP
BA,crema,2023-07-21,2279,22,0.009653356735410267,2391.0,0.9532,110.0,20,674.5,6.13,7,21,2279000,33.725,No BP
BA,crema,2023-07-22,2547,21,0.008244994110718492,2552.0,0.998,105.0,22,788.5,7.51,7,22,2547000,35.84090909090909,No BP
BA,crema,2023-07-23,3890,30,0.007712082262210797,3873.0,1.0044,150.0,24,723.0,4.82,7,23,3890000,30.125,No BP
BA,crema,2023-07-24,2805,27,0.009625668449197862,2752.0,1.0193,135.0,10,360.0,2.67,7,24,2805000,36.0,No BP
BA,crema,2023-07-25,2096,18,0.008587786259541985,2112.0,0.9924,90.0,7,252.0,2.8,7,25,2096000,36.0,No BP
BA,crema,2023-07-26,3453,35,0.010136113524471474,3465.0,0.9965,175.0,18,648.0,3.7,7,26,3453000,36.0,No BP
BA,crema,2023-07-27,4433,21,0.004737198285585382,4382.0,1.0116,105.0,11,396.0,3.77,7,27,4433000,36.0,No BP
BA,crema,2023-07-28,9977,40,0.004009221208780195,9991.0,0.9986,200.0,14,504.0,2.52,7,28,9977000,36.0,No BP
BA,crema,2023-07-29,29114,49,0.0016830390877241189,29984.0,0.971,245.0,13,468.0,1.91,7,29,29114000,36.0,No BP
BA,crema,2023-07-30,11809,41,0.0034719281903632824,11547.0,1.0227,205.0,21,756.0,3.69,7,30,11809000,36.0,No BP
BA,crema,2023-07-31,12098,24,0.001983798975037196,12057.0,1.0034,120.0,17,612.0,5.1,7,31,12098000,36.0,No BP
BA,crema,2023-08-01,72756,39,0.0005360382648853703,72652.0,1.0014,193.55,14,504.0,2.6,8,1,72756000,36.0,No BP
BA,crema,2023-08-02,94020,39,0.0004148053605615826,94321.0,0.9968,193.55,13,468.0,2.42,8,2,94020000,36.0,No BP
BA,crema,2023-08-03,64974,33,0.0005078954658786592,66131.0,0.9825,165.0,20,720.0,4.36,8,3,64974000,36.0,No BP
BA,crema,2023-08-04,92650,35,0.00037776578521316783,93193.0,0.9942,175.0,18,648.0,3.7,8,4,92650000,36.0,No BP
BA,crema,2023-08-05,113811,40,0.00035145987646185344,111561.0,1.0202,195.29,35,1260.0,6.45,8,5,113811000,36.0,No BP
BA,crema,2023-08-06,133758,33,0.0002467142152245099,126706.0,1.0557,165.0,22,792.0,4.8,8,6,133758000,36.0,No BP
BA,crema,2023-08-07,15434,38,0.002462096669690294,15518.0,0.9946,190.0,18,648.0,3.41,8,7,15434000,36.0,No BP
BA,crema,2023-08-08,8071,25,0.003097509602279767,8094.0,0.9972,125.0,15,540.0,4.32,8,8,8071000,36.0,No BP
BA,crema,2023-08-09,29708,22,0.0007405412683452268,30909.0,0.9611,110.0,21,7884.0,71.67,8,9,29708000,375.42857142857144,BP
BA,crema,2023-08-10,38457,36,0.000936110461034402,37301.0,1.031,180.0,25,900.0,5.0,8,10,38457000,36.0,No BP
BA,crema,2023-08-11,86726,37,0.0004266309987777598,84546.0,1.0258,185.0,16,576.0,3.11,8,11,86726000,36.0,No BP
BA,leche,2023-07-01,15308,55,0.003592892605173765,7802.0,1.9621,583.32,342,14214.0,24.37,7,1,15308000,41.56140350877193,BP
BA,leche,2023-07-02,17364,56,0.00322506334945865,8100.0,2.1437,616.47,276,9841.5,15.96,7,2,17364000,35.65760869565217,No BP
BA,leche,2023-07-03,24681,64,0.0025930878003322393,12311.0,2.0048,736.78,702,24012.0,32.59,7,3,24681000,34.205128205128204,BP
BA,leche,2023-07-04,22001,88,0.003999818190082269,10301.0,2.1358,830.91,458,19874.0,23.92,7,4,22001000,43.39301310043668,BP
BA,leche,2023-07-05,42363,523,0.012345679012345678,13138.0,3.2245,2903.0,1306,69442.5,23.92,7,5,42363000,53.171898928024504,BP
BA,leche,2023-07-06,9181,101,0.011000980285371964,3182.0,2.8853,495.39,603,98460.91,198.75,7,6,9181000,163.28509121061361,BP
BA,leche,2023-07-07,15589,188,0.012059785746359613,4733.0,3.2937,916.7,717,51437.0,56.11,7,7,15589000,71.7391910739191,BP
BA,leche,2023-07-08,16251,184,0.011322380161220847,5841.0,2.7822,916.7,570,81972.0,89.42,7,8,16251000,143.81052631578947,BP
BA,leche,2023-07-09,13623,197,0.014460838288189093,5162.0,2.6391,954.0,414,16901.5,17.72,7,9,13623000,40.82487922705314,No BP
BA,leche,2023-07-10,13976,194,0.013880938752146537,5201.0,2.6872,954.0,483,45093.5,47.27,7,10,13976000,93.36128364389234,BP
BA,leche,2023-07-11,16110,192,0.011918063314711359,5992.0,2.6886,954.0,794,22604.5,23.69,7,11,16110000,28.4691435768262,BP
BA,leche,2023-07-12,12347,192,0.015550336114035798,4625.0,2.6696,954.0,679,48315.0,50.64,7,12,12347000,71.15611192930781,BP
BA,leche,2023-07-13,15464,193,0.012480600103466116,5691.0,2.7173,954.0,694,190323.02,199.5,7,13,15464000,274.2406628242075,BP
BA,leche,2023-07-14,14603,192,0.013147983291104568,5604.0,2.6058,954.0,705,42957.53,45.03,7,14,14603000,60.93266666666666,BP
BA,leche,2023-07-15,12522,194,0.015492732790289091,4433.0,2.8247,954.0,622,78889.0,82.69,7,15,12522000,126.83118971061093,BP
BA,leche,2023-07-16,12421,192,0.015457692617341598,4847.0,2.5626,954.0,586,56000.0,58.7,7,16,12421000,95.56313993174061,BP
BA,leche,2023-07-17,12221,191,0.01562883561083381,4504.0,2.7134,954.0,667,63483.0,66.54,7,17,12221000,95.17691154422789,BP
BA,leche,2023-07-18,14960,193,0.012901069518716578,5933.0,2.5215,954.0,777,35737.05,37.46,7,18,14960000,45.993629343629344,BP
BA,leche,2023-07-19,9896,195,0.019704931285367825,3975.0,2.4896,954.0,930,53526.98,56.11,7,19,9896000,57.555892473118284,BP
BA,leche,2023-07-20,12226,192,0.01570423687223949,4795.0,2.5497,954.0,940,92117.0,96.56,7,20,12226000,97.9968085106383,BP
BA,leche,2023-07-21,11114,193,0.017365484973906786,4157.0,2.6736,954.0,754,74078.0,77.65,7,21,11114000,98.24668435013263,BP
BA,leche,2023-07-22,15121,192,0.012697572911844455,5529.0,2.7349,954.0,874,70415.0,73.81,7,22,15121000,80.56636155606407,BP
BA,leche,2023-07-23,17903,192,0.010724459587778585,6634.0,2.6987,954.0,751,57553.0,60.33,7,23,17903000,76.63515312916113,BP
BA,leche,2023-07-24,17722,193,0.010890418688635594,6777.0,2.615,954.0,843,23723.0,24.87,7,24,17722000,28.141162514827997,BP
BA,leche,2023-07-25,14244,193,0.013549564729008706,5752.0,2.4764,954.0,845,71888.0,75.35,7,25,14244000,85.07455621301776,BP
BA,leche,2023-07-26,12803,191,0.014918378505037883,4569.0,2.8021,954.0,679,52225.5,54.74,7,26,12803000,76.91531664212077,BP
BA,leche,2023-07-27,14314,193,0.013483303059941316,4869.0,2.9398,954.0,893,98974.0,103.75,7,27,14314000,110.83314669652856,BP
BA,leche,2023-07-28,13320,192,0.014414414414414415,4723.0,2.8202,954.0,787,69689.5,73.05,7,28,13320000,88.55082592121983,BP
BA,leche,2023-07-29,11095,193,0.017395223073456513,4067.0,2.7281,954.0,750,25204.5,26.42,7,29,11095000,33.606,BP
BA,leche,2023-07-30,17245,192,0.011133661930994491,6057.0,2.8471,954.0,713,40738.0,42.7,7,30,17245000,57.13604488078541,BP
BA,leche,2023-07-31,18122,193,0.010650038627083103,6384.0,2.8387,954.0,659,50647.5,53.09,7,31,18122000,76.85508345978755,BP
BA,leche,2023-08-01,41248,195,0.0047275019394879755,14301.0,2.8843,967.74,761,28834.5,29.8,8,1,41248000,37.89027595269383,BP
BA,leche,2023-08-02,19309,194,0.01004712828214822,6998.0,2.7592,967.74,726,111101.5,114.8,8,2,19309000,153.03236914600552,BP
BA,leche,2023-08-03,92244,199,0.002157321885434283,49967.0,1.8461,967.74,654,62369.0,64.45,8,3,92244000,95.36544342507645,BP
BA,leche,2023-08-04,16993,194,0.011416465603483788,5987.0,2.8383,967.74,832,152280.48,157.36,8,4,16993000,183.02942307692308,BP
BA,leche,2023-08-05,18150,195,0.010743801652892562,6577.0,2.7596,967.74,706,47413.0,48.99,8,5,18150000,67.15722379603399,BP
BA,leche,2023-08-06,18508,194,0.010481953749729846,6944.0,2.6653,967.74,692,25180.5,26.02,8,6,18508000,36.38800578034682,BP
BA,leche,2023-08-07,17855,195,0.010921310557266872,6900.0,2.5877,967.74,759,34383.0,35.53,8,7,17855000,45.30039525691699,BP
BA,leche,2023-08-08,20655,195,0.00944081336238199,8048.0,2.5665,967.74,863,44350.0,45.83,8,8,20655000,51.39049826187717,BP
BA,leche,2023-08-09,15997,194,0.012127273863849472,6912.0,2.3144,967.74,1569,75603.32,78.12,8,9,15997000,48.185672402804336,BP
BA,leche,2023-08-10,15982,194,0.012138655987986484,7161.0,2.2318,967.74,3701,115875.93,119.74,8,10,15982000,31.309356930559307,BP
BA,leche,2023-08-11,13879,194,0.013977952302039052,6013.0,2.3082,967.74,952,131054.51,135.42,8,11,13879000,137.66230042016807,BP
BA,postres,2023-07-01,1800,4,0.0022222222222222222,1335.0,1.3483,31.25,10,262.5,8.4,7,1,1800000,26.25,No BP
BA,postres,2023-07-02,624,4,0.00641025641025641,463.0,1.3477,31.25,7,253.5,8.11,7,2,624000,36.214285714285715,No BP
BA,postres,2023-07-03,358,4,0.0111731843575419,327.0,1.0948,31.25,4,154.0,4.93,7,3,358000,38.5,No BP
BA,postres,2023-07-04,308,4,0.012987012987012988,276.0,1.1159,31.25,2,68.0,2.18,7,4,308000,34.0,No BP
BA,postres,2023-07-05,2814,22,0.007818052594171997,2803.0,1.0039,97.0,12,523.0,5.39,7,5,2814000,43.583333333333336,No BP
BA,postres,2023-07-06,186,4,0.021505376344086023,184.0,1.0109,17.0,11,353.0,20.77,7,6,186000,32.09090909090909,BP
BA,postres,2023-07-07,1721,7,0.004067402672864613,1321.0,1.3028,29.27,11,361.0,12.33,7,7,1721000,32.81818181818182,No BP
BA,postres,2023-07-08,687,6,0.008733624454148471,620.0,1.1081,29.27,7,11738.0,401.03,7,8,687000,1676.857142857143,BP
BA,postres,2023-07-09,1171,8,0.006831767719897523,972.0,1.2047,30.44,18,287.02,9.43,7,9,1171000,15.945555555555554,No BP
BA,postres,2023-07-10,559,7,0.012522361359570662,473.0,1.1818,30.44,6,117.0,3.84,7,10,559000,19.5,No BP
BA,postres,2023-07-11,1801,7,0.003886729594669628,1376.0,1.3089,30.44,6,242.0,7.95,7,11,1801000,40.333333333333336,No BP
BA,postres,2023-07-12,777,7,0.009009009009009009,635.0,1.2236,30.44,2,92.0,3.02,7,12,777000,46.0,No BP
BA,postres,2023-07-13,604,7,0.011589403973509934,468.0,1.2906,30.44,9,228.0,7.49,7,13,604000,25.333333333333332,No BP
BA,postres,2023-07-14,913,7,0.007667031763417305,724.0,1.261,30.44,5,162.0,5.32,7,14,913000,32.4,No BP
BA,postres,2023-07-15,275,7,0.025454545454545455,224.0,1.2277,30.44,9,168.02,5.52,7,15,275000,18.66888888888889,No BP
BA,postres,2023-07-16,341,7,0.020527859237536656,268.0,1.2724,30.44,3,104.0,3.42,7,16,341000,34.666666666666664,No BP
BA,postres,2023-07-17,620,7,0.01129032258064516,536.0,1.1567,30.44,21,342.0,11.24,7,17,620000,16.285714285714285,No BP
BA,postres,2023-07-18,262,7,0.026717557251908396,227.0,1.1542,30.44,5,201.0,6.6,7,18,262000,40.2,No BP
BA,postres,2023-07-19,709,7,0.009873060648801129,540.0,1.313,30.44,13,407.0,13.37,7,19,709000,31.307692307692307,No BP
BA,postres,2023-07-20,455,8,0.017582417582417582,344.0,1.3227,30.44,9,6093.0,200.16,7,20,455000,677.0,BP
BA,postres,2023-07-21,311,7,0.022508038585209004,219.0,1.4201,30.44,19,523.0,17.18,7,21,311000,27.526315789473685,No BP
BA,postres,2023-07-22,619,7,0.011308562197092083,481.0,1.2869,30.44,5,223.0,7.33,7,22,619000,44.6,No BP
BA,postres,2023-07-23,773,8,0.01034928848641656,590.0,1.3102,30.44,8,338.0,11.1,7,23,773000,42.25,No BP
BA,postres,2023-07-24,818,8,0.009779951100244499,637.0,1.2841,30.44,18,600.02,19.71,7,24,818000,33.33444444444444,No BP
BA,postres,2023-07-25,747,8,0.0107095046854083,548.0,1.3631,30.44,10,334.0,10.97,7,25,747000,33.4,No BP
BA,postres,2023-07-26,520,7,0.013461538461538462,431.0,1.2065,30.44,2,92.0,3.02,7,26,520000,46.0,No BP
BA,postres,2023-07-27,951,7,0.007360672975814932,789.0,1.2053,30.44,42,766.5,25.18,7,27,951000,18.25,BP
BA,postres,2023-07-28,242,7,0.028925619834710745,196.0,1.2347,30.44,16,269.0,8.84,7,28,242000,16.8125,No BP
BA,postres,2023-07-29,1096,7,0.006386861313868613,949.0,1.1549,30.44,17,264.01,8.67,7,29,1096000,15.53,No BP
BA,postres,2023-07-30,1763,8,0.0045377197958026095,1484.0,1.188,30.44,8,8931.0,293.4,7,30,1763000,1116.375,BP
BA,postres,2023-07-31,953,7,0.007345225603357817,741.0,1.2861,30.44,37,430.58,14.15,7,31,953000,11.637297297297296,No BP
BA,postres,2023-08-01,701,7,0.009985734664764621,430.0,1.6302,32.26,1,46.0,1.43,8,1,701000,46.0,No BP
BA,postres,2023-08-02,1373,7,0.005098324836125273,1093.0,1.2562,32.26,8,225.0,6.97,8,2,1373000,28.125,No BP
BA,postres,2023-08-03,818,7,0.008557457212713936,666.0,1.2282,32.26,5,159.0,4.93,8,3,818000,31.8,No BP
BA,postres,2023-08-04,1443,8,0.005544005544005544,1187.0,1.2157,32.26,16,607.0,18.82,8,4,1443000,37.9375,No BP
BA,postres,2023-08-05,2342,7,0.0029888983774551663,1822.0,1.2854,32.26,11,470.0,14.57,8,5,2342000,42.72727272727273,No BP
BA,postres,2023-08-06,1288,7,0.005434782608695652,1042.0,1.2361,32.26,3,114.0,3.53,8,6,1288000,38.0,No BP
BA,postres,2023-08-07,1332,8,0.006006006006006006,1064.0,1.2519,32.26,22,576.46,17.87,8,7,1332000,26.202727272727273,No BP
BA,postres,2023-08-08,1123,7,0.006233303650934996,951.0,1.1809,32.26,8,356.0,11.04,8,8,1123000,44.5,No BP
BA,postres,2023-08-09,2084,8,0.003838771593090211,1674.0,1.2449,32.26,14,462.5,14.34,8,9,2084000,33.035714285714285,No BP
BA,postres,2023-08-10,2598,7,0.0026943802925327174,2189.0,1.1868,32.26,7,298.0,9.24,8,10,2598000,42.57142857142857,No BP
BA,postres,2023-08-11,2606,7,0.002686108979278588,2101.0,1.2404,32.26,9,414.0,12.83,8,11,2606000,46.0,No BP
BA,queso,2023-07-01,827,13,0.015719467956469165,393.0,2.1043,125.0,12,864.5,6.92,7,1,827000,72.04166666666667,No BP
BA,queso,2023-07-02,1168,13,0.01113013698630137,781.0,1.4955,125.0,8,432.5,3.46,7,2,1168000,54.0625,No BP
BA,queso,2023-07-03,1117,13,0.011638316920322292,779.0,1.4339,125.0,19,1458.5,11.67,7,3,1117000,76.76315789473684,No BP
BA,queso,2023-07-04,1476,16,0.01084010840108401,941.0,1.5685,125.0,8,451.0,3.61,7,4,1476000,56.375,No BP
BA,queso,2023-07-05,6796,78,0.011477339611536198,2457.0,2.766,387.0,50,2401.0,6.2,7,5,6796000,48.02,No BP
BA,queso,2023-07-06,676,16,0.023668639053254437,167.0,4.0479,67.59,11,698.0,10.33,7,6,676000,63.45454545454545,No BP
BA,queso,2023-07-07,3164,24,0.007585335018963337,838.0,3.7757,117.13,19,896.5,7.65,7,7,3164000,47.18421052631579,No BP
BA,queso,2023-07-08,2740,24,0.008759124087591242,700.0,3.9143,117.13,12,437.5,3.74,7,8,2740000,36.458333333333336,No BP
BA,queso,2023-07-09,3354,25,0.007453786523553965,919.0,3.6496,121.81,17,629.5,5.17,7,9,3354000,37.029411764705884,No BP
BA,queso,2023-07-10,3171,25,0.007883948281299276,871.0,3.6406,121.81,14,737.5,6.05,7,10,3171000,52.67857142857143,No BP
BA,queso,2023-07-11,4310,25,0.00580046403712297,1160.0,3.7155,121.81,15,630.0,5.17,7,11,4310000,42.0,No BP
BA,queso,2023-07-12,3643,25,0.006862475981334065,988.0,3.6872,121.81,17,9664.0,79.34,7,12,3643000,568.4705882352941,BP
BA,queso,2023-07-13,3408,25,0.007335680751173709,910.0,3.7451,121.81,19,750.0,6.16,7,13,3408000,39.473684210526315,No BP
BA,queso,2023-07-14,3431,25,0.00728650539201399,940.0,3.65,121.81,12,719.0,5.9,7,14,3431000,59.916666666666664,No BP
BA,queso,2023-07-15,3984,25,0.006275100401606426,1004.0,3.9681,121.81,17,722.5,5.93,7,15,3984000,42.5,No BP
BA,queso,2023-07-16,2663,25,0.00938790837401427,724.0,3.6782,121.81,24,7918.5,65.01,7,16,2663000,329.9375,BP
BA,queso,2023-07-17,5141,27,0.005251896518187123,1346.0,3.8195,121.81,21,9793.0,80.4,7,17,5141000,466.3333333333333,BP
BA,queso,2023-07-18,4459,25,0.005606638259699484,1228.0,3.6311,121.81,20,759.0,6.23,7,18,4459000,37.95,No BP
BA,queso,2023-07-19,4007,25,0.006239081607187422,1151.0,3.4813,121.81,17,793.5,6.51,7,19,4007000,46.6764705882353,No BP
BA,queso,2023-07-20,4835,26,0.005377456049638056,1312.0,3.6852,121.81,17,843.0,6.92,7,20,4835000,49.588235294117645,No BP
BA,queso,2023-07-21,3741,25,0.006682705159048383,986.0,3.7941,121.81,14,6072.0,49.85,7,21,3741000,433.7142857142857,BP
BA,queso,2023-07-22,3097,25,0.008072328059412335,879.0,3.5233,121.81,17,3657.0,30.02,7,22,3097000,215.11764705882354,BP
BA,queso,2023-07-23,3183,25,0.007854225573358466,879.0,3.6212,121.81,16,688.0,5.65,7,23,3183000,43.0,No BP
BA,queso,2023-07-24,2413,25,0.010360547036883548,669.0,3.6069,121.81,18,797.0,6.54,7,24,2413000,44.27777777777778,No BP
BA,queso,2023-07-25,3539,25,0.007064142413111049,951.0,3.7213,121.81,12,506.5,4.16,7,25,3539000,42.208333333333336,No BP
BA,queso,2023-07-26,3842,25,0.006507027589796981,1060.0,3.6245,121.81,8,278.5,2.29,7,26,3842000,34.8125,No BP
BA,queso,2023-07-27,5158,25,0.004846839860411012,1339.0,3.8521,121.81,19,751.5,6.17,7,27,5158000,39.55263157894737,No BP
BA,queso,2023-07-28,4777,25,0.005233410090014654,1284.0,3.7204,121.81,19,2804.0,23.02,7,28,4777000,147.57894736842104,BP
BA,queso,2023-07-29,3991,25,0.006264094211976948,1014.0,3.9359,121.81,11,3641.0,29.89,7,29,3991000,331.0,BP
BA,queso,2023-07-30,3325,25,0.007518796992481203,896.0,3.7109,121.81,20,4086.0,33.54,7,30,3325000,204.3,BP
BA,queso,2023-07-31,2926,27,0.009227614490772385,799.0,3.6621,121.81,15,810.0,6.65,7,31,2926000,54.0,No BP
BA,queso,2023-08-01,4454,26,0.0058374494836102376,1158.0,3.8463,129.03,20,3902.0,30.24,8,1,4454000,195.1,BP
BA,queso,2023-08-02,2757,26,0.009430540442509974,732.0,3.7664,129.03,28,16467.0,127.62,8,2,2757000,588.1071428571429,BP
BA,queso,2023-08-03,4256,26,0.006109022556390977,1206.0,3.529,129.03,18,848.0,6.57,8,3,4256000,47.111111111111114,No BP
BA,queso,2023-08-04,3994,26,0.006509764646970456,1065.0,3.7502,129.03,25,925.5,7.17,8,4,3994000,37.02,No BP
BA,queso,2023-08-05,4770,28,0.005870020964360587,1295.0,3.6834,129.03,18,795.5,6.17,8,5,4770000,44.19444444444444,No BP
BA,queso,2023-08-06,4785,26,0.005433646812957158,1449.0,3.3023,129.03,18,643.0,4.98,8,6,4785000,35.72222222222222,No BP
BA,queso,2023-08-07,3793,26,0.006854732401792776,1039.0,3.6506,129.03,7,319.5,2.48,8,7,3793000,45.642857142857146,No BP
BA,queso,2023-08-08,5248,27,0.005144817073170732,2104.0,2.4943,129.03,32,4212.0,32.64,8,8,5248000,131.625,BP
BA,queso,2023-08-09,3241,26,0.008022215365627893,1219.0,2.6587,129.03,10,388.5,3.01,8,9,3241000,38.85,No BP
BA,queso,2023-08-10,6817,26,0.0038139944257004547,2000.0,3.4085,129.03,6,281.0,2.18,8,10,6817000,46.833333333333336,No BP
BA,queso,2023-08-11,5056,26,0.005142405063291139,1306.0,3.8714,129.03,28,973.5,7.54,8,11,5056000,34.767857142857146,No BP
BA,yogurt,2023-07-01,1255,34,0.027091633466135457,400.0,3.1375,281.25,51,8188.0,29.11,7,1,1255000,160.54901960784315,BP
BA,yogurt,2023-07-02,1591,33,0.020741671904462602,443.0,3.5914,281.25,42,2119.0,7.53,7,2,1591000,50.45238095238095,No BP
BA,yogurt,2023-07-03,1289,34,0.026377036462373934,395.0,3.2633,281.25,30,1904.0,6.77,7,3,1289000,63.46666666666667,No BP
BA,yogurt,2023-07-04,1691,37,0.02188054405677114,924.0,1.8301,281.25,76,3083.0,10.96,7,4,1691000,40.56578947368421,No BP
BA,yogurt,2023-07-05,15663,169,0.010789759305369342,6799.0,2.3037,870.0,220,27462.01,31.57,7,5,15663000,124.82731818181817,BP
BA,yogurt,2023-07-06,2610,32,0.012260536398467433,1070.0,2.4393,152.73,83,2704.49,17.71,7,6,2610000,32.58421686746988,No BP
BA,yogurt,2023-07-07,5456,55,0.010080645161290322,2270.0,2.4035,263.55,63,4794.5,18.19,7,7,5456000,76.10317460317461,No BP
BA,yogurt,2023-07-08,7489,53,0.007077046334624116,3130.0,2.3927,263.55,107,3131.5,11.88,7,8,7489000,29.266355140186917,No BP
BA,yogurt,2023-07-09,15790,56,0.003546548448385054,11583.0,1.3632,274.0,109,3391.0,12.38,7,9,15790000,31.110091743119266,No BP
BA,yogurt,2023-07-10,8545,55,0.006436512580456407,3571.0,2.3929,274.0,92,7478.5,27.29,7,10,8545000,81.28804347826087,BP
BA,yogurt,2023-07-11,5332,55,0.010315078769692423,1922.0,2.7742,274.0,77,3101.0,11.32,7,11,5332000,40.27272727272727,No BP
BA,yogurt,2023-07-12,6821,55,0.008063333822020232,2666.0,2.5585,274.0,116,7647.0,27.91,7,12,6821000,65.92241379310344,BP
BA,yogurt,2023-07-13,5153,55,0.010673394139336309,2024.0,2.5459,274.0,81,3019.0,11.02,7,13,5153000,37.27160493827161,No BP
BA,yogurt,2023-07-14,7292,57,0.007816785518376303,3225.0,2.2611,274.0,113,28197.0,102.91,7,14,7292000,249.53097345132744,BP
BA,yogurt,2023-07-15,13195,55,0.004168245547555892,6014.0,2.194,274.0,223,6968.0,25.43,7,15,13195000,31.246636771300448,BP
BA,yogurt,2023-07-16,12442,56,0.004500884102234368,5293.0,2.3507,274.0,223,20172.01,73.62,7,16,12442000,90.45744394618833,BP
BA,yogurt,2023-07-17,9274,55,0.005930558550787147,3455.0,2.6842,274.0,121,10300.5,37.59,7,17,9274000,85.12809917355372,BP
BA,yogurt,2023-07-18,9610,56,0.005827263267429761,3344.0,2.8738,274.0,133,4780.0,17.45,7,18,9610000,35.93984962406015,No BP
BA,yogurt,2023-07-19,8813,55,0.006240780664926813,2711.0,3.2508,274.0,124,17657.99,64.45,7,19,8813000,142.40314516129033,BP
BA,yogurt,2023-07-20,7463,56,0.0075036848452365,2347.0,3.1798,274.0,215,15098.51,55.1,7,20,7463000,70.22562790697674,BP
BA,yogurt,2023-07-21,10217,55,0.005383184887931878,3543.0,2.8837,274.0,212,33674.04,122.9,7,21,10217000,158.83981132075473,BP
BA,yogurt,2023-07-22,8863,56,0.006318402346835158,2722.0,3.2561,274.0,156,16220.01,59.2,7,22,8863000,103.97442307692307,BP
BA,yogurt,2023-07-23,7591,56,0.007377157159794493,2210.0,3.4348,274.0,195,14900.06,54.38,7,23,7591000,76.4105641025641,BP
BA,yogurt,2023-07-24,10737,56,0.005215609574369004,3476.0,3.0889,274.0,190,14497.55,52.91,7,24,10737000,76.3028947368421,BP
BA,yogurt,2023-07-25,10673,55,0.005153190293263375,3433.0,3.1089,274.0,179,23480.5,85.7,7,25,10673000,131.1759776536313,BP
BA,yogurt,2023-07-26,4974,55,0.011057498994772819,1632.0,3.0478,274.0,267,30485.47,111.26,7,26,4974000,114.1777902621723,BP
BA,yogurt,2023-07-27,8194,55,0.006712228459848669,2787.0,2.9401,274.0,212,23154.54,84.51,7,27,8194000,109.2195283018868,BP
BA,yogurt,2023-07-28,8933,55,0.006156946154707265,2954.0,3.024,274.0,230,44308.48,161.71,7,28,8933000,192.64556521739132,BP
BA,yogurt,2023-07-29,6091,55,0.009029715974388442,1686.0,3.6127,274.0,151,8155.0,29.76,7,29,6091000,54.00662251655629,BP
BA,yogurt,2023-07-30,7022,56,0.007974935915693534,1953.0,3.5955,274.0,147,32679.51,119.27,7,30,7022000,222.30959183673468,BP
